6a.osztályból  lógások   38 óra
5a.osztályból  lógások   36 óra
6b.osztályból  lógások   34 óra
3b.osztályból  lógások   38 óra
4b.osztályból  lógások   36 óra
8a.osztályból  lógások   42 óra
5b.osztályból  lógások   28 óra
8b.osztályból  lógások   70 óra
7b.osztályból  lógások   28 óra
4a.osztályból  lógások   52 óra
7a.osztályból  lógások   23 óra
3a.osztályból  lógások   54 óra
1a.osztályból  lógások   15 óra
2a.osztályból  lógások   12 óra
1b.osztályból  lógások   10 óra
2b.osztályból  lógások   33 óra




















































































